,property.type,property.bedroomCount,property.location.postalCode,extractDate,count_id,sum_value
141,HOUSE,0.0,1150,2023-12-05 15:55:52.855004,1,895000.0
142,HOUSE,0.0,1180,2023-12-05 15:55:52.855004,11,8344000.0
143,HOUSE,0.0,1190,2023-12-05 15:55:52.855004,8,6315000.0
144,HOUSE,0.0,1200,2023-12-05 15:55:52.855004,2,3435000.0
145,HOUSE,0.0,1210,2023-12-05 15:55:52.855004,5,2769000.0
146,HOUSE,1.0,1000,2023-12-05 15:55:52.855004,3,1125000.0
147,HOUSE,1.0,1020,2023-12-05 15:55:52.855004,2,365000.0
148,HOUSE,1.0,1030,2023-12-05 15:55:52.855004,1,220000.0
149,HOUSE,1.0,1040,2023-12-05 15:55:52.855004,3,2733000.0
150,HOUSE,1.0,1050,2023-12-05 15:55:52.855004,2,715000.0
151,HOUSE,1.0,1060,2023-12-05 15:55:52.855004,3,5560000.0
152,HOUSE,1.0,1070,2023-12-05 15:55:52.855004,3,559000.0
153,HOUSE,1.0,1090,2023-12-05 15:55:52.855004,3,1130000.0
154,HOUSE,1.0,1160,2023-12-05 15:55:52.855004,1,499000.0
155,HOUSE,1.0,1190,2023-12-05 15:55:52.855004,2,765000.0
156,HOUSE,1.0,1200,2023-12-05 15:55:52.855004,2,1125000.0
157,HOUSE,2.0,1000,2023-12-05 15:55:52.855004,12,6324000.0
158,HOUSE,2.0,1020,2023-12-05 15:55:52.855004,5,1915000.0
159,HOUSE,2.0,1030,2023-12-05 15:55:52.855004,7,2307000.0
160,HOUSE,2.0,1040,2023-12-05 15:55:52.855004,6,3572000.0
161,HOUSE,2.0,1050,2023-12-05 15:55:52.855004,6,3281000.0
162,HOUSE,2.0,1060,2023-12-05 15:55:52.855004,1,395000.0
163,HOUSE,2.0,1070,2023-12-05 15:55:52.855004,17,5934000.0
164,HOUSE,2.0,1080,2023-12-05 15:55:52.855004,7,1843000.0
165,HOUSE,2.0,1081,2023-12-05 15:55:52.855004,4,1124000.0
166,HOUSE,2.0,1082,2023-12-05 15:55:52.855004,1,250000.0
167,HOUSE,2.0,1083,2023-12-05 15:55:52.855004,3,1215000.0
168,HOUSE,2.0,1090,2023-12-05 15:55:52.855004,7,4575000.0
169,HOUSE,2.0,1120,2023-12-05 15:55:52.855004,1,369000.0
170,HOUSE,2.0,1130,2023-12-05 15:55:52.855004,1,254000.0
171,HOUSE,2.0,1140,2023-12-05 15:55:52.855004,2,904000.0
172,HOUSE,2.0,1150,2023-12-05 15:55:52.855004,5,2351000.0
173,HOUSE,2.0,1160,2023-12-05 15:55:52.855004,4,1920000.0
174,HOUSE,2.0,1170,2023-12-05 15:55:52.855004,5,2279000.0
175,HOUSE,2.0,1180,2023-12-05 15:55:52.855004,13,8804000.0
176,HOUSE,2.0,1190,2023-12-05 15:55:52.855004,2,697000.0
177,HOUSE,2.0,1200,2023-12-05 15:55:52.855004,5,2604000.0
178,HOUSE,2.0,1210,2023-12-05 15:55:52.855004,2,715000.0
179,HOUSE,3.0,1000,2023-12-05 15:55:52.855004,23,14240000.0
180,HOUSE,3.0,1020,2023-12-05 15:55:52.855004,23,10444000.0
181,HOUSE,3.0,1030,2023-12-05 15:55:52.855004,27,13054000.0
182,HOUSE,3.0,1040,2023-12-05 15:55:52.855004,11,7067000.0
183,HOUSE,3.0,1050,2023-12-05 15:55:52.855004,16,14345000.0
184,HOUSE,3.0,1060,2023-12-05 15:55:52.855004,3,1770000.0
185,HOUSE,3.0,1070,2023-12-05 15:55:52.855004,65,25434000.0
186,HOUSE,3.0,1080,2023-12-05 15:55:52.855004,25,11059000.0
187,HOUSE,3.0,1081,2023-12-05 15:55:52.855004,5,2597000.0
188,HOUSE,3.0,1082,2023-12-05 15:55:52.855004,11,5783000.0
189,HOUSE,3.0,1083,2023-12-05 15:55:52.855004,12,4679000.0
190,HOUSE,3.0,1090,2023-12-05 15:55:52.855004,19,9940000.0
191,HOUSE,3.0,1120,2023-12-05 15:55:52.855004,8,3722000.0
192,HOUSE,3.0,1130,2023-12-05 15:55:52.855004,6,2252000.0
193,HOUSE,3.0,1140,2023-12-05 15:55:52.855004,12,5500000.0
194,HOUSE,3.0,1150,2023-12-05 15:55:52.855004,24,15078000.0
195,HOUSE,3.0,1160,2023-12-05 15:55:52.855004,23,13601000.0
196,HOUSE,3.0,1170,2023-12-05 15:55:52.855004,25,13862000.0
197,HOUSE,3.0,1180,2023-12-05 15:55:52.855004,67,53558500.0
198,HOUSE,3.0,1190,2023-12-05 15:55:52.855004,15,6457000.0
199,HOUSE,3.0,1200,2023-12-05 15:55:52.855004,23,13004000.0
200,HOUSE,3.0,1210,2023-12-05 15:55:52.855004,10,4830000.0
201,HOUSE,4.0,1000,2023-12-05 15:55:52.855004,31,24485000.0
